NCTId,BriefTitle,BriefSummary,DetailedDescription,OverallStatus,Gender,MinimumAge,MaximumAge,Keyword,PrimaryOutcomeTimeFrame,DesignAllocation,DesignInterventionModel,DesignPrimaryPurpose,Condition,InterventionName
NCT01011075,Study of Gleevec and Weekly Paclitaxel in Patients Aged 70 or Older With Advanced Non small Cell Lung Cancer,"This study will evaluate the clinical efficacy of combining Gleevec (imatinib mesylate), a PDGFR antagonist, with front line, single agent paclitaxel in a cohort of elderly patients with advanced, non small cell lung cancer.","Paclitaxel 90 mg,m2 IV on days 3, 10, 17 Imatinib 600 mg,day, oral administration in 4 day pulses bracketing each paclitaxel infusion (days 1 4; 8 11; 15 18) Cycle length: 28 days Number of cycles: up to 6",Completed,All,70 Years,,"Lung cancer,, Non small cell lung cancer, NSCLC, Metastatic, Gleevec, elderly",6 months,,Single Group Assignment,Treatment,Non small Cell Lung Cancer,"Imatinib mesylate, Paclitaxel"
NCT00540514,Albumin bound Paclitaxel (ABI 007) for Patients With Advanced Non Small Cell Lung Cancer,The purpose of this study is to compare disease response of Albumin bound paclitaxel (ABI 007) plus Carboplatin versus Taxol and Carboplatin as first line therapy in patients with advanced non small cell lung cancer (NSCLC).,,Completed,All,18 Years,,Advanced Non Small Cell Lung Cancer,"Objective response was evaluated every 6 weeks until progression or new anti cancer therapy initiation, up to 22 months.",Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Carcinoma,"Albumin bound paclitaxel, Paclitaxel, Carboplatin"
NCT00970580,A Study of BIIB022 in Combination With Paclitaxel and Carboplatin in Subjects With Non Small Cell Lung Cancer,"The purpose of this study is to determine whether BIIB022, Paclitaxel and Carboplatin are effective in the treatment of Treatment Naive, Stage IIIB,IV Non Small Cell Lung Cancer.",,Completed,All,18 Years,,"BIIB022, Stage IV, Taxol, Stage IIIB, Carboplatin, Paclitaxel, Non Small Cell Lung Cancer, Treatment Naive, Anti IGF1R, NSCLC, Open Label, IGF1R, Paraplatin, Cytotoxic, Mitotic Inhibitor, Taxane, Alkylating agent",6 months,,Single Group Assignment,Treatment,Non Small Cell Lung Cancer,BIIB022 With Paclitaxel and Carboplatin
NCT00005059,Carboplatin and Paclitaxel in Treating Older Patients With Metastatic or Recurrent Unresectable Non small Cell Lung Cancer,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells. PURPOSE: Phase II trial to study the effectiveness of carboplatin and paclitaxel in treating patients who have metastatic or recurrent unresectable non small cell lung cancer.,OBJECTIVES: I. Determine the response rate to carboplatin and paclitaxel in elderly patients with metastatic or recurrent unresectable non small cell lung cancer. II. Determine the toxicity of this regimen in these patients. III. Determine if the hypothesized lack of social support impacts the recruitment of elderly patients into clinical trials. IV. Determine if a previously validated tool of functional status in the elderly predicts treatment related toxicity superior to that predicted by the ECOG performance status in this patient population.,Completed,All,65 Years,,"recurrent non small cell lung cancer, stage IV non small cell lung cancer",Up to 5 years,,Single Group Assignment,Treatment,Lung Cancer,"carboplatin, paclitaxel"
NCT00453167,Weekly Paclitaxel Plus Gemcitabine as Second line in Small Cell Lung Cancer,"As a single agent, paclitaxel has a response rate of 33% and 25 29% in SCLC patients with sensitive relapse and with resistant relapse, respectively. As a single agent, gemcitabine also has a response rate 16% and 6 13% in SCLC patients with sensitive relapse and with resistant relapse, respectively. Because of single agent activity, different mechanism of action, non overlapping toxicities, and beneficial pharmacologic interaction, paclitaxel and gemcitabine combinations are attractive for testing in clinical trials.","The treatment consists of paclitaxel 80 mg,m2 and gemcitabine 1,000 mg,m2 given intravenously on days 1 and 8 of a 21 day cycle. Patients receive treatment every 3 weeks till disease progression",Completed,All,18 Years,,"Small cell lung cancer, second line therapy",the ratio between the number of responders and number of patients assessable for tumor response,Non Randomized,Single Group Assignment,Treatment,Lung Cancer,"Paclitaxel, Gemcitabine"
NCT00003281,Topotecan and Paclitaxel in Treating Patients With Recurrent or Refractory Small Cell Lung Cancer,RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells. PURPOSE: Phase II trial to study the effectiveness of topotecan and paclitaxel in treating patients who have recurrent or refractory small cell lung cancer.,"OBJECTIVES: Determine the toxicity of combination topotecan and paclitaxel in previously treated patients with small cell lung cancer.. Determine the response rate and survival in patients treated with this regimen. OUTLINE: This is a multicenter study. Patients are stratified according to length of time since prior treatment (less than 3 months (stratum A) vs 3 months or more (stratum B)). Stratum A closed to accrual effective 06,20,2000. Patients receive topotecan IV over 30 minutes on days 1 3 and paclitaxel IV over 3 hours on day 3. Courses repeat every 4 weeks. Patients who achieve partial response or stable disease continue treatment in the absence of complete response or disease progression. Patients who develop disease progression in the CNS only should receive whole brain radiotherapy and then continue treatment. Patients who achieve complete remission receive a maximum of 6 courses of treatment. Patients may then undergo prophylactic cranial irradiation and,or thoracic radiotherapy at the discretion at the attending physician. Patients are followed every 3 months for 2 years and then at 3 years after study.",Completed,All,18 Years,,recurrent small cell lung cancer,Up to 5 years,,Single Group Assignment,Treatment,Lung Cancer,"paclitaxel, topotecan hydrochloride, radiation therapy"
NCT02733250,Pembrolizumab With Nab Paclitaxel in Non Small Cell Lung Cancer,The purpose of this study is to determine the optimal dose of nab paclitaxel to be safely administered in combination with pembrolizumab in patients with advanced inoperable non small cell lung cancer. The study is also aimed at evaluating the efficacy of the combination therapy.,"This is a phase 1,2, open label, proof of concept study of nab paclitaxel administered in combination with pembrolizumab in patients with advanced non small cell lung cancer (NSCLC). Part 1 of the study will assess the dose limiting toxicity (DLT) of nab paclitaxel in combination with a fixed dose of pembrolizumab (200 mg administered on day 1 of each 21 day cycle). Dose escalation for nab paclitaxel will be conducted according to the 3+3 design until the recommended phase 2 dose (RP2D) is determined. Part 2 of the study will evaluate the administration of pembrolizumab at a dose of 200 mg every 3 weeks in combination with nab paclitaxel at the RP2D. Determining the RP2D will classify the treatment combination as safe and allow for an expansion of the study population, which will ultimately lead to further assessments of safety and tolerability as well as an evaluation of the anti tumoral effect of the proposed treatment combination. Using Simon\s optimal 2 stage design for Phase II clinical trials, we determined that a sample size of 36 patients would be adequate to test the proposed hypothesis. The primary efficacy analysis of overall response rate (ORR) will be interpreted as follows: 1) if less than 9 partial response (PR) or complete response (CR) are recorded, the combination of nab paclitaxel and pembrolizumab provides less than additive effects and is not likely to be clinically superior compared to pembrolizumab alone based on an ORR assessment; 2) however, if 9 or more PR or CR are recorded, the treatment combination warrants further clinical study. This could take the form of an extended phase II (to reach the 97 patients calculated from the model) or a phase III study. Treatment will continue until disease progression (as per RECIST 1.1), unacceptable adverse event(s), intercurrent illness that prevents further administration of treatment, investigator\s decision to withdraw the subject, investigator\s noncompliance with trial treatment or procedures requirements, the subject receives 24 months of uninterrupted treatment or 35 administrations of study medication (whichever is later), or administrative reasons.",Completed,All,18 Years,,"NSCLC, Pembrolizumab, Nab paclitaxel","Safety follow up will be maintained up to 90 days following the administration of the last study drug dose., up to 56 months",,Single Group Assignment,Treatment,Lung Cancer,"Pembrolizumab, Nab Paclitaxel"
NCT01171170,"Paclitaxel Carboplatin Bevacizumab +, Nitroglycerin in Metastatic Non Squamous Non Small Cell Lung Cancer","This study is designed to assess the effects of adding nitroglycerin (NTG) patches, delivery 25 mg NTG per 24 h, to the standard first line treatment of metastatic non squamous non small cell lung cancer (NSCLC), i.e. 4 cycles of carboplatin paclitaxel bevacizumab, followed by bevacizumab alone until disease progression. Tumor hypoxia is a common phenomenon in lung cancer; it is a known poor prognostic marker, related to treatment resistance. Pre clinical studies have shown that nitric oxide (NO) donating drugs may decrease hypoxia related drug resistance. NTG is a NO donating drug. NTG increases tumor blood flow and thereby augments antitumor drug delivery to the tumor. A randomized phase II has shown an increase in the response rate from 42% to 72%, when NTG patches (25 mg,day, day 2 to +3) were added to vinorelbine,cisplatin in patients with advanced NSCLC. In addition, the time to progression increased from 185 to 327 days. The hypothesis of the present study is that adding NTG transdermal patches to bevacizumab containing chemotherapy improves progression free survival, response rate and overall survival in patients with metastatic non squamous NSCLC.","Standard treatment for non small cell lung cancer (NSCLC) consists of platinum containing chemotherapy. It has been shown that the addition of bevacizumab to standard chemotherapy improves progression free survival (PFS) and overall survival (OS) in patients with non squamous NSCLC. There is a need for improved PFS and OS and response rates to chemotherapy are only 25 35%. Tumor hypoxia is a common phenomenon in lung cancer; it is a known poor prognostic marker, related to treatment resistance. Hypoxia Inducible Factor (HIF) 1α is the major factor regulating the response to hypoxia. HIF directly activates vascular endothelial growth factor (VEGF) and VEGF receptor. Bevacizumab interacts with this pathway by blocking VEGF. Pre clinical studies have shown that nitric oxide (NO) donating drugs may decrease hypoxia related drug resistance. Nitroglycerin (NTG) is a NO donating drug. NTG increases tumor blood flow and thereby augments antitumor drug delivery to the tumor and inhibits HIF 1α. Interestingly, it has recently been shown in mouse models that the addition of HIF 1α inhibitors to bevacizumab significantly inhibits tumor growth by inducing apoptosis. A randomized phase II has shown an increase in the response rate from 42% to 72%, when NTG patches (25 mg,day, day 2 to +3) were added to vinorelbine,cisplatin in patients with advanced NSCLC. In addition, the time to progression increased from 185 to 327 days. The hypothesis of the present study is that adding NTG transdermal patches to bevacizumab containing chemotherapy improves PFS, response rate and OS in patients with metastatic non squamous NSCLC.",Completed,All,18 Years,,"non small cell lung cancer, stage IV, nitroglycerin, carboplatin, paclitaxel, bevacizumab",every 6 weeks during chemotherapy,Randomized,Parallel Assignment,Treatment,Non Small Cell Lung Cancer,"carboplatin paclitaxel bevacizumab, Standard treatment plus nitroglycerin"
NCT00753909,"Paclitaxel, Carboplatin Plus Bevacizumab in Pretreated, Advanced or Metastatic Non Small Cell Lung Cancer","This trial will evaluate the efficacy and safety of paclitaxel, carboplatin and bevacizumab combination, administered biweekly, in patients with pretreated, advanced non small cell lung cancer.","The addition of bevacizumab to paclitaxel plus carboplatin in the 1st line treatment of patients with advanced or metastatic non small cell lung cancer (NSCLC) provided a survival benefit. There are patients with NSCLC who have not received bevacizumab and have relapsed after 1st and,or 2nd line therapy. The evaluation of bevacizumab plus chemotherapy in such patients is justified. The combination of paclitaxel and carboplatin, administered every two weeks, has a favorable toxicity profile. This study will evaluate the addition of bevacizumab to a biweekly regimen of paclitaxel and carboplatin as 2nd or 3rd line therapy for NSCLC",Completed,All,18 Years,,"Non Small Cell Lung Cancer, Paclitaxel, Carboplatin, Bevacizumab",Objective responses confirmed by CT or MRI (on 3rd and 6th cycle),,Single Group Assignment,Treatment,Non Small Cell Lung Cancer,"Carboplatin, Bevacizumab, Paclitaxel"
NCT00004055,"Topotecan, Paclitaxel, and Filgrastim in Treating Patients With Previously Untreated Extensive Stage Small Cell Lung Cancer","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Colony stimulating factors such as filgrastim may increase the number of immune cells found in bone marrow or peripheral blood and may help a persons immune system recover from the side effects of chemotherapy. PURPOSE: Phase II trial to study the effectiveness of topotecan, paclitaxel, and filgrastim in treating patients who have previously untreated extensive stage small cell lung cancer.","OBJECTIVES: I. Evaluate oral topotecan and paclitaxel in terms of toxicity and complete and partial response rate in patients with previously untreated extensive stage small cell lung cancer. II. Determine preliminary estimates of survival in this patient population in response to this regimen. OUTLINE: Patients receive oral topotecan on days 1 5 followed by paclitaxel IV over 3 hours on day 5. Beginning 24 48 hours after chemotherapy, patients receive filgrastim (G CSF) subcutaneously daily for up to 10 days until blood counts recover. Treatment repeats every 4 weeks for 6 courses in the absence of disease progression. Patients who develop CNS progressive disease only should receive whole brain radiotherapy before continuing study treatment.",Completed,All,18 Years,,extensive stage small cell lung cancer,Up to 6 months,,Single Group Assignment,Treatment,Lung Cancer,"filgrastim, paclitaxel, topotecan hydrochloride"
NCT00062062,Gefitinib With or Without Carboplatin and Paclitaxel in Treating Older Patients With Unresectable or Metastatic Non Small Cell Lung Cancer,RATIONALE: Biological therapies such as gefitinib may interfere with the growth of cancer cells and slow the growth of the tumor. Drugs used in chemotherapy such as carboplatin and paclitaxel use different ways to stop tumor cells from dividing so they stop growing or die. Combining gefitinib with carboplatin and paclitaxel may kill more tumor cells. PURPOSE: This phase II trial is studying how well giving gefitinib alone or together with carboplatin and paclitaxel works in treating older patients with unresectable or metastatic non small cell lung cancer.,"OBJECTIVES: Primary Determine the 6 month progression status of older patients with unresectable or metastatic non small cell lung cancer treated with gefitinib alone or with carboplatin and paclitaxel. Secondary Determine the response rate in patients treated with these regimens.. Determine the quality of life of patients treated with these regimens.. Determine whether serum secreted or soluble epidermal growth factor receptor (EGFR) concentrations predict response in patients treated with these regimens.. Correlate the presence of social support for these patients with toxicity and efficacy of these regimens.. Determine whether social support for these patients differs according to gender.. Determine the reasons an oncologist would choose a chemotherapy vs a nonchemotherapy regimen for these patients. Tertiary Correlate EGFR signaling pathway markers, RNA expression profile, gene polymorphisms of prespecified germline and tumor genes, and plasma and urine proteomic patterns with response rate and time to progression of patients receiving treatment in group I. OUTLINE: This is a nonrandomized, multicenter study. Patients are assigned to 1 of 2 treatment groups as determined by their treating physician. Group I: Patients receive oral gefitinib on days 1 28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.. Group II: Patients receive paclitaxel IV over 1 hour and carboplatin IV over 30 minutes on days 1, 8, and 15. Treatment repeats every 28 days for up to 4 courses in the absence of disease progression or unacceptable toxicity. After completion of chemotherapy and in the absence of disease progression, patients receive oral gefitinib as in group I. Quality of life is assessed at baseline and after the completion of course 2. Patients are followed every 3 months for 5 years. PROJECTED ACCRUAL: A total of 107 patients (51 for group I and 56 for group II) will be accrued for this study within 1.7 years.",Completed,All,65 Years,120 Years,"stage IV non small cell lung cancer, stage IIIB non small cell lung cancer",at 6 months,Non Randomized,Parallel Assignment,Treatment,Lung Cancer,"carboplatin, gefitinib, paclitaxel"
NCT00832819,E7080 in Combination With Carboplatin and Paclitaxel in Patients With Non small Cell Lung Cancer (NSCLC),"The purpose of this study is to determined the maximum tolerated dose (MTD), safety and tolerability, pharmacokinetics, pharmacodynamics, and anti tumor effect of E7080 administered continually twice daily in combination with carboplatin and paclitaxel to patients with advanced or metastatic non small cell lung cancer.",,Completed,All,20 Years,74 Years,"Cancer, Lung Cancer",7 days during the run in period (Cycle 0) and 3 weeks (21 days) from Cycle 1,Non Randomized,Single Group Assignment,Treatment,Non small cell Lung Cancer,"E7080, E7080, Paclitaxel, Carboplatin"
